FoodName,FoodID,Energy (kcal),Protein,Protein from Amino Acids,Carbohydrates,Dietary fibre,Fat,Alcohol,Salt,Vitamin A,beta-Carotene,Vitamin D,Vitamin D3,Vitamin E,Vitamin K,Thiamin (Vitamin B1),Riboflavin (Vitamin B2),Niacin equivalent,Niacin,Vitamin B6,Pantothenic acid,Biotin,Folate,"Folate, free",Vitamin B12,Vitamin C,Ascorbic acid,Sodium,Potassium,Calcium,Magnesium,Iron,Copper,Zinc,Sum sugars,Starch/Glycogen,Sum saturated fatty acids,Sum monounsaturated fatty acids,Sum polyunsaturated fatty acids,Sum trans fatty acids,Sum n-3 fatty acids,Sum n-6 fatty acids,Cholesterol,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Threonine,Tryptophan,Valine,Arginine,Histidine,Glycine,Proline
"Beef, chuck, raw",1019,193,18.8,15.6,0.0,0.0,13.1,0.0,0.2,13.00,0.00,0.60,0.60,0.43,0.00,0.04,0.19,9.39,5.70,0.46,0.75,0.0,6.0,4.0,1.4,0.0,0.0,62,310,5,21,2.20,0.07,4.40,0.0,0,5.195,4.798,0.213,0.314,0.036,0.177,65.0,935.0,1464.8,1620.7,467.5,140.3,748.0,623.3,810.3,221.3,997.3,1153.2,654.5,1059.7,872.7
"Margarine, 80 % fat, table use, soft, vegetable fat",1020,727,0.8,,1.4,0.0,79.8,0.0,1.4,840.00,360.00,0.00,0.00,32.50,0.00,0.01,0.03,0.21,0.02,0.00,0.08,0.0,2.0,2.0,0.1,0.0,0.0,550,38,10,2,0.09,0.00,0.05,0.0,0,17.544,18.074,41.686,0.000,0.700,40.986,0.0,46.0,74.0,60.0,19.0,7.0,38.0,38.0,34.0,11.0,51.0,28.0,21.0,16.0,74.0
"Pork, ham, smoked, boiled",1021,199,18.3,15.5,0.0,0.0,14.0,0.0,5.1,3.00,0.00,0.38,0.13,0.10,0.00,0.75,0.23,7.22,3.80,0.44,0.60,2.6,1.5,,0.6,0.0,0.0,2040,261,7,25,1.77,0.08,1.80,0.0,0,5.535,6.247,1.028,,0.081,0.946,62.0,966.2,1434.7,1639.7,497.8,155.2,732.0,673.4,849.1,205.0,1054.1,1171.2,644.2,1024.8,790.6
"Chocolate, bitter",1022,549,4.3,3.3,61.0,0.9,31.8,0.0,0.0,6.17,37.00,0.00,0.00,0.00,0.00,0.08,0.15,1.48,0.60,0.05,0.19,3.0,7.0,4.0,0.0,0.0,0.0,13,417,64,121,2.76,0.95,2.20,54.3,5.3,18.913,10.029,1.238,0.000,0.086,1.152,5.0,173.8,265.3,228.7,49.4,43.9,201.2,74.1,164.6,53.1,265.3,228.7,74.1,182.9,237.8
"Soup, tomato, ready to eat",1023,72,1.6,1.3,12.7,0.4,1.5,0.0,1.7,0.00,,0.00,,,,0.07,0.04,1.37,1.10,0.09,0.12,,12.0,,0.0,53.0,53.0,695,210,11,6,1.40,0.20,0.19,7.3,1.7,0.263,0.345,0.769,0.000,0.132,0.637,0.0,47.2,78.6,39.3,18.1,22.0,55.0,34.1,41.9,16.0,52.4,47.2,28.8,41.9,107.4
"Herring, pickled, spiced, canned",1024,229,12.4,9.8,10.7,0.0,15.2,0.0,3.0,17.00,,13.00,13.00,1.60,,0.03,0.17,2.31,,0.20,,,1.8,,6.2,0.0,,1180,44,30,6,0.92,,0.64,11.0,0,3.430,7.362,2.919,,2.753,0.166,,615.0,1011.8,1091.2,357.1,61.5,535.7,357.1,555.5,138.9,753.9,714.2,317.4,575.4,476.2
"Pork, minced and bound with flour and egg, boiled, frozen",1025,218,15.8,,3.9,0.0,15.5,0.0,0.6,,,,,,,0.06,0.10,2.50,2.50,0.14,0.21,,,,1.1,,,247,,35,,1.25,,,0.0,3.9,6.350,6.350,1.780,0.071,,,,,,,,,,,,,,,,,
"Herring, smoked",1026,216,20.5,17.3,0.0,0.0,14.9,0.0,1.5,15.90,0.00,13.65,13.65,1.10,0.00,0.00,0.26,8.48,4.85,0.31,0.67,6.8,10.0,,13.0,0.0,0.0,614,290,43,30,0.90,0.10,0.87,0.0,0,3.083,7.091,3.135,,2.871,0.263,58.0,1037.5,1673.3,2041.5,669.3,150.6,836.7,736.3,970.5,217.5,1238.3,1171.3,468.5,937.1,769.7
"Pork, ham, silverside (M. Biceps Femoris), 5 mm rind, raw",1029,222,19.2,15.3,5.3,0.0,13.8,0.0,0.2,1.00,0.00,0.38,0.13,0.10,0.00,0.81,0.21,6.73,3.30,0.31,0.60,2.6,1.5,,0.7,0.0,0.0,66,280,6,18,0.66,0.10,3.60,0.0,0,5.488,6.190,1.018,,0.081,0.937,65.0,921.6,1413.1,1720.3,491.5,129.0,706.6,645.1,798.7,205.8,1013.8,1136.6,706.6,952.3,737.3
"Salmon, Atlantic, wild, gravad",1031,178,21.2,18.0,2.7,0.0,9.2,0.0,4.8,30.00,0.00,30.00,30.00,1.30,0.00,0.20,0.15,10.73,7.00,,,,,,,0.0,0.0,1930,295,26,,0.38,,,2.8,0,1.738,2.603,2.376,,2.067,0.310,70.0,1051.5,1662.1,1899.5,644.5,135.7,848.0,712.3,949.8,223.9,1221.1,2374.4,474.9,1017.6,746.2
"Margarine, 80 % fat, table use, vegetable fat",1032,731,0.8,,0.6,0.0,80.6,0.0,1.4,840.00,360.00,0.00,0.00,32.50,0.00,0.01,0.03,0.21,0.02,0.00,0.08,0.0,2.0,2.0,0.1,0.0,0.0,550,38,10,2,0.09,0.00,0.05,0.0,0,31.563,23.447,18.790,0.000,1.499,17.291,0.0,46.0,74.0,60.0,19.0,7.0,38.0,38.0,34.0,11.0,51.0,28.0,21.0,16.0,74.0
"Anchovy, pickled, canned",1034,215,13.4,10.5,11.0,0.0,13.0,0.0,9.0,390.00,0.00,14.00,14.00,0.90,0.00,0.01,0.12,3.42,1.10,0.18,,,16.0,13.0,3.5,0.0,0.0,3606,165,145,18,1.80,0.16,3.40,10.0,0,3.339,4.331,2.677,,2.099,0.579,90.0,707.5,1050.6,1072.0,407.4,42.9,578.9,493.1,557.4,139.4,793.3,707.5,300.2,793.3,536.0
"Sprat, pickled, canned",1035,215,13.4,10.5,11.0,0.0,13.0,0.0,9.0,390.00,0.00,14.00,14.00,2.31,0.00,0.01,0.12,3.42,1.10,0.18,,,16.0,13.0,3.5,0.0,0.0,3606,165,145,18,1.80,0.16,3.40,0.0,0,3.339,4.331,2.677,,2.099,0.579,38.0,707.5,1050.6,1072.0,407.4,42.9,578.9,493.1,557.4,139.4,793.3,707.5,300.2,793.3,536.0
"Margarine, 80 % fat, for frying/baking, animal and vegetable fat",1036,737,0.0,,0.0,0.0,81.9,0.0,1.5,840.00,360.00,0.00,0.00,8.50,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.0,2.0,2.0,0.0,0.0,0.0,592,52,10,2,0.06,0.01,0.05,0.1,0,31.442,21.329,11.916,5.407,2.503,9.413,0.0,,,,,,,,,,,,,,
"Chicken, hen, flesh and skin, raw",1037,214,17.1,14.0,0.6,0.0,15.9,0.0,0.1,38.00,0.00,,,0.30,0.00,0.06,0.12,9.73,6.57,0.32,0.89,2.0,9.0,3.0,0.3,0.0,0.0,51,187,10,17,1.01,0.14,1.35,0.0,0,4.470,6.700,3.396,,0.205,3.191,73.0,850.0,1233.9,1398.4,466.1,230.3,658.1,548.4,712.9,189.2,822.6,1069.4,493.6,1124.2,850.0
"Margarine, 80 % fat, table use, animal and vegetable fat",1038,739,0.0,,0.0,0.0,82.1,0.0,1.1,840.00,360.00,0.00,0.00,17.20,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.0,2.0,2.0,0.0,0.0,0.0,454,29,10,,0.06,0.00,0.05,0.0,0,33.698,31.098,8.599,2.600,0.900,7.700,,,,,,,,,,0.0,,,,,
"Beef, brisket, anterior part, raw",1040,167,18.9,16.3,0.0,0.0,10.2,0.0,0.1,2.43,0.00,0.31,0.04,0.22,7.38,0.03,0.20,9.23,5.17,0.17,2.59,2.1,10.4,4.0,1.2,0.0,0.0,53,318,4,20,1.60,0.05,3.30,0.0,0,3.726,4.297,0.144,0.170,0.000,0.144,58.1,886.8,1571.7,1748.3,399.0,158.3,848.7,647.0,902.5,243.8,961.3,1215.0,682.2,1012.0,786.3
"Poularde, flesh and skin, raw",1041,190,19.0,15.5,3.7,0.0,11.0,0.0,0.1,38.00,0.00,1.50,1.50,,0.00,0.06,0.12,10.30,6.80,0.35,0.91,,6.0,,0.3,1.6,1.6,39,101,11,8,0.90,0.05,1.31,0.0,0,3.101,4.652,2.367,,0.143,2.224,75.0,942.4,1368.0,1550.4,516.8,255.4,729.6,608.0,790.4,209.8,912.0,1185.6,547.2,1246.4,942.4
"Beef, shoulder, dorsal part, raw",1042,205,19.2,15.4,0.0,0.0,14.2,0.0,0.2,15.00,0.00,0.60,0.60,0.45,0.00,0.04,0.17,9.34,5.70,0.45,0.74,0.0,6.0,4.0,1.4,0.0,0.0,69,309,5,21,2.00,0.07,4.60,0.0,0,5.999,6.779,0.570,,0.170,0.400,65.0,921.6,1443.8,1597.4,460.8,138.2,737.3,614.4,798.7,218.1,983.0,1136.6,645.1,1044.5,860.2
"Pork, ham sausage",1043,222,15.1,,2.7,0.0,16.8,0.0,2.1,0.00,0.00,,,,0.00,,,,,,,,,,,0.0,0.0,821,278,,,1.00,0.11,1.70,0.0,3.8,5.740,7.270,1.570,,,,57.0,,,,,,,,,,,,,,
"Margarine, (more than 50 % fat), average",1044,742,0.0,,0.0,0.0,82.4,0.0,1.1,840.00,360.00,0.00,0.00,17.20,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.0,2.0,2.0,0.0,0.0,0.0,454,29,10,2,0.06,0.00,0.05,0.6,0,23.594,21.894,23.494,6.698,1.700,21.794,,,,,,,,,,0.0,,,,,
"Cream pastry, with jam, marzipan-covered",1045,359,3.1,,36.6,1.2,22.0,0.0,0.2,107.33,,0.80,,0.79,,0.10,0.20,1.60,1.60,0.00,,,18.0,,0.4,1.1,,96,110,52,30,0.90,,0.70,31.1,5.5,12.522,6.824,1.444,,0.099,1.345,,,,,,,,,,,,,,,
"Rolls, wheat with coarse meal, high fat seeds, industrially produced",1047,280,9.0,8.0,46.2,4.4,5.5,0.0,1.0,0.00,0.00,0.00,0.00,0.50,,0.22,0.08,1.58,1.72,0.12,0.37,4.9,38.4,,0.1,0.0,0.0,380,186,45,39,1.31,0.19,1.01,4.1,42.0947368421053,0.953,1.288,2.652,0.000,0.449,2.203,0.0,395.5,680.3,221.5,147.1,174.0,474.6,221.5,269.0,94.9,458.8,363.9,205.7,379.7,1044.2
"Milk, skimmed, organic",1048,35,3.5,3.2,4.5,0.0,0.3,0.0,0.1,3.17,1.00,0.01,0.01,0.01,0.00,0.04,0.17,0.88,0.09,0.05,0.36,2.0,4.8,4.0,0.5,1.3,1.3,44,158,124,12,0.03,0.01,0.41,4.8,0,0.194,0.081,0.008,,0.002,0.006,3.0,203.1,334.9,312.9,87.8,26.9,175.7,148.2,148.2,47.2,241.6,120.8,98.8,71.4,340.4
"Milk, skimmed",1049,35,3.5,3.2,4.5,0.0,0.3,0.0,0.1,3.17,1.00,0.01,0.01,0.01,0.00,0.04,0.17,0.88,0.09,0.05,0.36,2.0,4.8,4.0,0.5,1.3,1.3,44,158,124,12,0.03,0.01,0.41,4.8,0,0.194,0.081,0.008,,0.002,0.006,3.0,203.1,334.9,312.9,87.8,26.9,175.7,148.2,148.2,47.2,241.6,120.8,98.8,71.4,340.4
"Bamboo shoots, raw",1051,37,3.6,,3.9,2.8,0.1,0.0,0.0,1.33,8.00,0.00,0.00,,,0.04,0.12,0.50,0.50,,,,,,0.0,11.0,11.0,0,500,18,,0.30,,,3.8,0,0.040,0.000,0.090,0.000,,,0.0,,,,,,,,,,,,,,
"Butter, salt added",1052,741,0.7,0.6,1.2,0.0,81.5,0.0,0.9,779.42,362.00,0.64,0.20,1.78,0.00,0.01,0.04,0.25,0.10,0.00,0.11,0.0,3.0,0.0,0.2,0.0,0.0,372,29,17,2,0.01,0.02,0.04,0.6,0,53.536,16.980,2.202,3.520,0.536,1.345,220.0,37.7,62.2,58.1,16.3,5.0,32.6,27.5,27.5,8.8,44.9,22.4,18.4,13.3,63.2
"Beef, meat, approx. 15 % fat, raw",1053,242,19.7,15.8,8.9,0.0,14.2,0.0,0.2,15.00,0.00,0.70,0.70,0.35,0.00,0.05,0.20,9.33,5.60,0.32,0.47,0.0,5.5,4.0,1.4,1.0,1.0,69,309,5,22,2.20,0.07,4.60,0.0,0,5.930,6.715,0.561,,0.168,0.393,66.0,945.6,1481.4,1639.0,472.8,141.8,756.5,630.4,819.5,223.8,1008.6,1166.2,661.9,1071.7,882.6
"Herring, pickled, in madeira sauce, canned",1054,232,14.0,,8.0,0.0,16.0,0.0,3.0,50.00,0.00,11.02,11.02,0.60,0.00,0.00,0.20,5.30,5.30,0.10,,,1.8,,,0.0,0.0,1180,290,150,15,2.00,,0.39,8.0,0,2.370,6.600,3.320,,2.530,0.890,58.0,,,,,,,,,,,,,,
"Passion fruit, raw",1055,104,2.8,,15.2,8.0,1.8,0.0,0.0,105.25,631.50,0.00,0.00,1.80,,0.00,0.13,1.50,1.50,0.02,,,10.0,,0.0,39.5,39.5,3,226,6,31,0.74,,0.75,7.3,0,0.080,0.120,0.360,0.000,0.150,0.210,0.0,,,,,,,,,,,,,,
"Pork sausage, bierwurst",1056,228,14.6,,3.7,0.2,17.2,0.0,9.0,0.00,0.00,,,,0.00,,,,,,,,,,,0.0,0.0,3583,287,,,2.86,0.09,5.50,0.0,3.8,5.870,7.440,1.600,,,,56.0,,,,,,,,,,,,,,
"Jam, fruit, average values",1057,267,0.6,,65.7,1.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,10.0,10.0,16,110,24,10,0.50,0.23,0.10,65.7,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,,,,,,,,,,,,,,
"Pork, flank, raw",1058,217,17.9,14.3,0.0,0.0,16.1,0.0,0.2,1.00,0.00,0.40,0.14,0.10,0.00,0.43,0.15,6.10,2.80,0.26,0.60,2.6,1.5,,0.7,0.0,0.0,60,200,6,14,0.58,0.10,3.60,0.0,0,6.403,7.218,1.191,,0.092,1.099,73.0,873.6,1310.4,1601.6,436.8,119.4,669.8,611.5,757.1,198.0,961.0,1077.4,669.8,931.8,728.0
"Swiss roll, raspberry stuffing",1059,379,3.6,,56.9,1.4,14.9,0.0,0.5,0.00,,0.47,,2.33,,0.02,0.07,0.46,0.46,0.04,,,13.6,,0.1,0.0,,184,84,45,4,0.39,,0.24,40.2,16.7,7.790,4.900,1.490,,0.350,1.150,,,,,,,,,,,,,,,
"Pork, ham, bayonne style, deboned",1060,193,20.8,16.6,0.4,0.0,12.0,0.0,3.6,0.00,0.00,0.36,0.12,0.10,0.00,0.75,0.23,7.52,3.80,0.44,0.60,2.6,1.5,,0.7,0.0,0.0,1457,231,7,25,0.95,0.08,1.90,0.0,0,4.768,5.388,0.884,,0.071,0.813,67.0,998.4,1530.9,1863.7,532.5,139.8,765.4,698.9,865.3,223.0,1098.2,1231.4,765.4,1031.7,798.7
"Sugar pea (Snow pea, Mangetout) raw",1061,48,3.8,,6.4,2.3,0.3,0.0,0.0,49.54,297.25,0.00,,,,0.19,,,,0.11,,,60.3,,,66.8,66.8,2,190,45,27,1.13,,0.66,2.7,0.8,0.040,0.010,0.110,0.000,0.020,0.090,,,,,,,,,,,,,,,
"Swiss roll, unspecified",1062,351,3.5,,61.9,1.0,9.7,0.0,0.5,0.00,,0.94,,,,0.04,0.07,0.40,0.40,,,,,,0.0,0.0,0.0,194,103,42,12,1.38,0.15,0.66,44.0,15.99,4.237,3.585,1.210,0.029,0.092,1.118,,,,,,,,,,,,,,,
"Bread, roll, danish",1063,294,9.7,8.7,54.0,3.5,3.6,0.0,1.1,0.00,0.00,0.00,0.00,0.50,0.00,0.16,0.09,1.81,1.20,0.08,0.50,1.9,62.1,8.0,0.0,0.0,0.0,435,153,67,26,1.32,0.14,0.79,0.4,51.1705555555556,0.676,0.631,1.288,0.000,0.052,1.236,0.0,406.4,694.2,270.9,159.2,169.3,524.9,203.2,287.9,108.4,524.9,406.4,220.1,372.5,1134.5
"Beef, top, end of rump, raw",1064,271,17.0,13.6,1.0,0.0,22.1,0.0,0.2,14.00,0.00,0.60,0.60,0.44,0.00,0.06,0.18,8.91,5.70,0.45,0.70,0.0,5.6,4.0,1.4,0.0,0.0,62,310,5,21,2.10,0.07,4.30,0.0,0,8.070,9.208,0.336,0.264,0.041,0.295,65.0,814.5,1276.1,1411.8,407.3,122.2,651.6,543.0,705.9,192.8,868.8,1004.6,570.2,923.1,760.2
"Liquorice, average values",1065,359,3.8,,83.2,0.0,1.2,0.0,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.20,0.20,0.00,,,0.0,,0.0,0.0,0.0,154,217,74,38,3.50,0.13,0.10,51.4,31.9,0.000,0.000,0.000,0.000,0.000,0.000,0.0,,,,,,,,,,,,,,
"Milk, skimmed, 0.5 % fat",1066,37,3.5,3.2,4.5,0.0,0.5,0.0,0.1,4.57,2.21,0.08,0.08,0.01,0.00,0.04,0.17,0.87,0.09,0.05,0.36,1.9,5.8,3.4,0.5,1.3,1.3,44,157,124,12,0.03,0.01,0.41,4.8,0,0.351,0.115,0.007,,0.002,0.005,3.5,200.0,340.0,310.0,88.0,27.0,180.0,150.0,150.0,47.0,240.0,120.0,99.0,71.2,340.0
"Beef, mince, 15-20% fat, raw",1067,217,17.8,,0.0,0.0,16.2,0.0,0.2,12.37,0.00,0.60,0.60,0.40,,0.04,0.15,3.74,3.74,0.24,0.31,1.3,9.2,,1.8,,,65,277,8,18,1.97,0.06,3.91,0.0,0,6.921,6.893,0.416,0.433,0.084,0.331,67.0,,,,,,,,,,,,,,
"Milk, buttermilk with lemon",1068,50,3.3,2.9,7.5,0.0,0.5,0.0,0.1,4.33,2.00,0.01,0.01,0.01,0.00,0.04,0.18,0.87,0.09,0.04,0.30,1.4,2.9,,0.3,0.4,0.4,41,147,114,11,0.04,0.01,0.41,7.5,0,0.324,0.135,0.014,,0.004,0.010,2.0,186.1,299.9,274.0,82.7,21.2,165.4,144.8,139.6,46.5,222.3,108.6,93.1,62.0,320.5
"Beef, T-bone steak, raw",1069,211,20.3,16.2,0.0,0.0,14.4,0.0,0.2,15.00,0.00,0.60,0.60,0.46,0.00,0.06,0.20,9.54,5.70,0.45,0.70,0.0,6.0,4.0,1.4,0.0,0.0,62,310,5,21,1.90,0.07,4.30,0.0,0,6.068,6.878,0.590,,0.180,0.410,68.0,974.4,1526.6,1689.0,487.2,146.2,779.5,649.6,844.5,230.6,1039.4,1201.8,682.1,1104.3,909.4
"Veal and pork, mince, 15-20% fat, raw",1070,218,17.6,,0.0,0.0,16.4,0.0,0.2,8.95,0.00,1.10,1.10,0.50,,0.41,0.18,4.71,4.71,0.27,0.56,2.7,8.3,,1.3,,,64,293,8,18,1.20,0.07,2.78,0.0,0,6.266,6.998,1.345,0.224,0.136,1.209,67.8,,,,,,,,,,,,,,
"Cream pastry, shortbread with chocolate glaze",1071,370,3.6,,38.8,0.9,22.0,0.0,0.3,155.83,,0.50,,1.34,,0.00,0.10,0.90,0.90,0.00,,,7.1,,0.2,0.1,,130,96,38,12,0.58,,0.32,22.0,16.8,11.723,7.150,1.942,,0.317,1.625,,,,,,,,,,,,,,,
"Pork sausage, jagdwurst",1074,237,13.1,,1.2,0.0,20.0,0.0,2.8,0.00,0.00,0.60,,0.20,0.00,0.20,0.10,2.80,2.80,0.10,,,2.7,,0.4,0.0,0.0,1115,208,7,20,0.60,0.07,2.60,0.1,0.8,8.100,9.000,1.500,,0.100,,55.0,,,,,,,,,,,,,,
"Coffee bean, roasted, ground",1075,399,11.7,,43.6,19.8,15.4,0.0,0.2,1.00,6.00,0.00,0.00,2.70,0.00,0.07,0.20,125.00,15.00,0.00,0.23,,22.0,,0.0,0.0,0.0,74,2020,120,240,4.10,1.55,0.79,0.0,28.5,6.100,1.400,6.600,0.000,,,0.0,,,,,,,,,6600.0,,,,,
"Pork, mince, 15-20% fat, raw",1076,224,17.1,,0.0,0.0,17.2,0.0,0.2,8.95,0.00,0.41,0.15,0.58,,0.64,0.19,8.89,5.06,0.28,4.05,3.5,5.5,,0.9,,,61,301,7,19,0.92,0.08,2.24,0.0,0,6.322,7.627,1.849,0.087,0.174,1.674,70.3,1030.0,1560.0,1850.0,530.0,140.0,760.0,700.0,890.0,230.0,1130.0,1230.0,790.0,960.0,760.0
"Pork, thin belly, lean, approx. 2 mm rind, raw",1077,228,17.4,13.9,0.0,0.0,17.6,0.0,0.2,8.95,0.00,0.41,0.15,0.10,0.00,0.48,0.18,5.99,2.80,0.26,0.60,2.6,1.5,,0.7,0.0,0.0,60,200,6,14,0.60,0.10,3.60,0.0,0,7.002,7.887,1.303,,0.102,1.201,68.0,845.4,1268.1,1549.9,422.7,115.5,648.2,591.8,732.7,191.6,930.0,1042.7,648.2,901.8,704.5
"Herring, pickled, in curry sauce, canned",1078,279,7.7,,11.6,0.0,22.4,0.0,2.3,3.30,,6.30,6.30,,0.00,,,,,,,,1.8,,,0.0,0.0,900,72,19,7,0.86,0.08,0.34,14.3,0,3.001,10.504,7.103,,2.601,4.502,58.0,,,,,,,,,,,,,,
"Cocoa, instant, med milk, powder",1079,382,5.5,4.0,82.0,0.5,3.4,0.0,0.7,0.00,0.00,0.00,0.00,0.10,0.00,0.06,0.04,1.88,0.50,0.02,0.89,,23.0,9.0,0.0,0.0,0.0,270,1470,33,155,7.00,1.10,1.90,70.3,3.3,1.470,0.830,0.070,,0.000,0.070,0.0,189.2,299.2,198.0,82.7,101.2,220.0,149.6,198.0,82.7,290.4,347.6,82.7,220.0,290.4
"Plaice, fillet, battered, deepfried",1080,251,15.2,,17.0,1.7,13.2,0.0,0.8,0.00,0.00,,,,0.00,,,,,,,,,,,0.0,0.0,308,246,,,,0.05,0.89,1.0,16,3.600,5.400,2.900,,,,71.5,,,,,,,,,,,,,,
Rice bran,1081,398,13.4,10.6,28.7,21.0,20.9,0.0,0.0,0.00,,,,,,2.75,0.28,3.14,34.00,,,,,,,0.0,0.0,5,1485,57,,18.54,,,0.9,27.8,4.170,7.550,7.460,0.000,,,0.0,583.4,1032.2,493.7,314.2,157.1,718.1,381.5,448.8,188.5,875.2,1009.8,291.7,605.9,605.9
"Beef, sirloin, raw",1082,212,19.9,15.9,0.4,0.0,14.5,0.0,0.1,4.22,0.00,1.09,0.17,0.44,0.00,0.03,0.18,9.37,5.29,0.21,2.95,2.5,10.6,4.0,1.1,0.0,0.0,46,305,7,19,1.52,0.03,3.00,0.0,0,5.553,6.130,0.195,0.271,0.000,0.195,56.7,867.8,1526.7,1711.7,408.7,161.0,835.7,622.0,853.3,244.7,946.5,1185.0,728.2,977.2,801.3
"Pastry, garland cake",1083,443,9.2,,57.7,2.1,19.0,0.0,0.2,8.90,,0.00,,8.50,,0.10,0.20,4.10,4.10,0.00,,,43.0,,0.0,0.0,0.0,61,201,43,100,1.40,,1.10,55.0,2.7,1.300,10.000,3.600,,0.000,,,,,,,,,,,,,,,,
"Wheat germ, raw",1084,379,27.9,24.5,39.1,12.3,9.6,0.0,0.0,0.00,0.00,0.00,0.00,11.00,39.00,1.45,0.61,5.58,5.80,1.42,1.20,,190.0,,0.0,0.0,0.0,6,1046,41,259,5.00,1.10,17.80,15.7,26.1,1.359,1.089,4.272,0.000,0.273,3.999,0.0,1005.0,2010.0,717.9,473.8,765.7,1340.0,909.3,813.6,335.0,1340.0,1387.8,622.1,1196.4,3158.5
"Haddock, breaded, fried",1087,198,25.0,22.0,1.8,0.2,10.0,0.0,1.3,10.00,0.00,1.93,,2.71,0.00,0.04,0.11,8.67,4.00,0.08,,,18.6,,0.9,2.0,2.0,530,300,100,32,0.50,,0.53,1.0,0.2,0.970,4.370,2.050,,0.550,1.490,63.0,1320.0,2120.0,2440.0,720.0,280.0,1040.0,880.0,1200.0,280.0,1440.0,1600.0,720.0,1160.0,1040.0
"Tuna, in oil, canned",1088,202,24.5,19.9,2.5,0.0,10.4,0.0,1.5,6.00,0.00,2.10,2.10,1.20,0.00,0.03,0.10,16.98,12.40,0.43,0.32,3.0,15.0,7.0,2.2,0.0,0.0,580,288,10,32,1.38,0.05,1.24,0.0,0,1.642,2.330,5.650,,0.675,4.975,100.0,1295.4,1844.9,2237.4,706.6,168.8,981.3,863.6,1059.8,274.8,1452.4,1373.9,1216.9,1059.8,824.3
"Black salsify, raw",1089,75,3.3,,11.6,7.0,0.2,0.0,0.0,3.33,20.00,0.00,0.00,0.80,,0.15,0.05,18.30,0.30,0.07,,,31.0,,0.0,3.0,3.0,5,387,24,32,0.70,0.12,0.20,6.6,3.9,0.000,0.100,0.200,0.000,0.022,0.131,0.0,,,,,,,,,1080.0,,,,,
"Mutton, shoulder, raw",1090,228,18.7,15.7,0.0,0.0,17.0,0.0,0.2,45.00,0.00,0.40,0.40,0.43,0.00,0.17,0.27,8.29,5.40,0.20,0.55,1.0,2.0,1.0,5.0,1.0,1.0,84,301,8,16,1.80,0.10,3.50,0.0,0,8.244,6.435,0.790,,0.395,0.395,78.0,926.9,1524.9,1704.3,478.4,158.5,747.5,747.5,807.3,173.4,1016.6,1255.8,538.2,986.7,867.1
"Chicken, flesh and skin, grilled",1091,194,24.2,19.3,0.0,0.0,10.8,0.0,2.2,47.00,0.00,1.50,1.50,0.50,0.00,0.06,0.17,12.75,8.50,0.40,,,5.0,,0.3,0.0,0.0,870,280,23,23,0.91,,1.94,0.0,0,3.074,4.534,2.328,,0.143,2.185,89.0,1136.8,1724.8,2195.2,627.2,156.8,901.6,744.8,980.0,254.8,1293.6,1568.0,627.2,1372.0,1097.6
"Chocolate, plain, couverture",1092,562,5.7,3.3,57.2,0.9,34.3,0.0,0.0,6.17,37.00,0.00,0.00,0.45,0.00,0.07,0.07,1.48,0.60,0.05,0.19,3.0,7.0,4.0,0.0,0.0,0.0,13,417,80,121,2.80,0.95,2.20,54.3,5.3,19.981,10.935,1.634,0.000,0.123,1.511,5.0,173.8,265.3,228.7,49.4,43.9,201.2,74.1,164.6,53.1,265.3,228.7,74.1,182.9,237.8
"Frankfurt sausage, boiled, fast food",1093,261,12.7,10.3,6.6,0.2,20.3,0.0,1.8,7.00,0.00,0.45,0.17,0.10,0.00,0.34,0.10,3.56,1.80,0.15,0.57,5.2,4.0,2.0,1.1,0.0,0.0,727,121,19,16,0.72,0.09,1.88,2.8,1.5,7.584,9.025,2.111,0.000,0.166,1.945,53.0,528.1,914.0,1056.1,264.0,79.2,467.1,365.6,467.1,105.6,649.9,731.2,284.3,1137.4,974.9
"Cream pastry, puff pastry with jam",1094,359,2.8,,32.0,0.9,24.2,0.0,0.4,167.50,,,,1.52,,,,,,,,,,,,,,170,87,41,10,0.50,,0.25,17.0,15,12.984,7.577,2.304,,0.367,1.937,,,,,,,,,,,,,,,
"Dandelion, leaves, raw",1095,46,3.0,,2.3,7.7,1.0,0.0,0.2,1500.00,9000.00,0.00,0.00,,,0.19,0.14,0.80,0.80,,,,,,0.0,40.0,40.0,76,,150,,3.10,,,2.0,0.1,0.200,0.014,0.500,0.000,,,0.0,,,,,,,,,,,,,,
Cinnamon stick,1096,246,4.0,,28.1,53.1,1.2,0.0,0.0,18.67,112.00,0.00,0.00,2.32,0.00,0.02,0.04,1.33,1.33,0.16,,,6.0,,0.0,3.8,3.8,10,431,1002,,8.32,0.34,1.83,0.0,24.4,0.564,0.410,0.018,0.000,0.018,0.000,0.0,,,,,,,,,,,,,,
