FoodName,FoodID,Energy (kcal),Protein,Protein from Amino Acids,Carbohydrates,Dietary fibre,Fat,Alcohol,Salt,Vitamin A,beta-Carotene,Vitamin D,Vitamin D3,Vitamin E,Vitamin K,Thiamin (Vitamin B1),Riboflavin (Vitamin B2),Niacin equivalent,Niacin,Vitamin B6,Pantothenic acid,Biotin,Folate,"Folate, free",Vitamin B12,Vitamin C,Ascorbic acid,Sodium,Potassium,Calcium,Magnesium,Iron,Copper,Zinc,Sum sugars,Starch/Glycogen,Sum saturated fatty acids,Sum monounsaturated fatty acids,Sum polyunsaturated fatty acids,Sum trans fatty acids,Sum n-3 fatty acids,Sum n-6 fatty acids,Cholesterol,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Threonine,Tryptophan,Valine,Arginine,Histidine,Glycine,Proline
"Cheese, firm, Samsoe, 45 % fidm.",209,362,26.8,23.8,0.0,0.0,27.9,0.0,1.4,257.50,123.00,0.27,0.27,0.71,0.00,0.05,0.33,6.31,0.10,0.09,0.34,1.5,60.0,1.0,1.4,0.5,0.5,556,65,970,27,0.11,0.09,3.20,0.0,0,18.050,7.526,0.790,,0.210,0.580,92.0,1481.2,2496.9,2158.3,761.8,97.3,1396.6,1481.2,931.0,372.4,1819.8,846.4,761.8,550.2,2835.4
"Baby food, infant formula, low iron content, powder",211,519,9.5,,58.0,0.0,27.7,0.0,0.3,540.00,,7.80,7.80,6.20,42.00,0.36,0.78,5.20,5.20,0.39,2.30,11.0,47.0,,1.6,52.0,52.0,120,460,320,36,3.10,0.31,3.90,58.0,0,11.200,9.990,5.210,,,,,,,,,,,,,,,,,,
"Sherry, medium",212,118,0.1,,3.4,0.0,0.0,14.8,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.08,0.01,,,0.1,0.1,0.0,0.0,0.0,6,89,9,8,0.53,0.06,0.21,3.4,0,0.000,0.000,0.000,0.000,,,0.0,,,,,,,,,,,,,,
"Wine, red",213,77,0.2,,2.5,0.0,0.0,9.5,0.0,0.00,0.00,0.00,0.00,0.00,,0.00,0.02,0.09,0.09,0.02,0.20,,0.2,0.2,0.0,0.0,0.0,10,100,8,11,0.75,0.04,0.12,0.3,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,,,,,,,,,,,,,,
"Cheese, hard, Cheshire, 50 % fidm.",214,381,24.0,21.2,1.0,0.0,31.2,0.0,1.5,287.83,137.00,0.30,0.30,0.80,0.00,0.04,0.50,5.62,0.10,0.08,0.30,1.7,20.0,,1.5,0.0,0.0,613,120,890,25,0.40,0.03,4.00,0.0,0,20.193,8.401,0.890,,0.240,0.650,103.0,1316.7,2219.6,1918.6,677.2,86.5,1241.5,1316.7,827.6,331.1,1617.7,752.4,677.2,489.1,2520.5
"Eggs, chicken, egg white, raw",215,44,10.2,9.9,0.9,0.0,0.0,0.0,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.35,2.71,0.10,0.00,0.18,11.7,7.0,2.0,0.0,0.0,0.0,177,147,7,11,0.01,0.02,0.00,1.0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,634.7,944.0,797.5,439.4,260.4,667.3,439.4,488.3,156.2,862.6,634.7,260.4,406.9,406.9
"Bacon, frying, raw",216,430,13.0,10.6,0.0,0.0,42.0,0.0,2.9,11.00,0.00,0.63,0.29,0.30,0.00,0.48,0.16,5.32,3.00,0.15,0.40,1.0,2.0,1.0,0.7,0.8,0.8,1140,185,5,15,0.51,0.06,1.98,0.0,0,17.089,18.898,3.072,,0.232,2.840,76.0,644.8,1060.8,1144.0,395.2,85.3,478.4,436.8,582.4,139.4,644.8,811.2,416.0,624.0,478.4
"Vermouth, dry",217,118,0.1,,5.2,0.0,0.0,13.8,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.01,,,0.0,0.0,0.0,0.0,0.0,17,40,7,5,0.34,0.02,0.02,5.2,0,0.000,0.000,0.000,0.000,,,0.0,,,,,,,,,,,,,,
"Vermouth, sweet",220,145,0.0,,14.5,0.0,0.0,12.4,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,,,0.0,0.0,0.0,0.0,0.0,27,29,6,6,0.34,0.02,0.02,14.5,0,0.000,0.000,0.000,0.000,,,0.0,,,,,,,,,,,,,,
"Prune, dried plum",221,230,2.7,1.6,54.6,7.6,0.7,0.0,0.0,85.67,514.00,0.00,0.00,2.30,,0.08,0.09,1.96,1.80,0.15,0.46,0.0,4.0,0.7,0.0,4.0,4.0,3,416,42,24,1.10,0.38,0.53,35.7,0,0.177,0.050,0.334,0.000,0.117,0.217,0.0,46.9,72.5,59.7,12.4,3.0,51.2,21.8,42.7,9.4,68.3,35.0,27.3,51.2,115.2
"Tamarind, Indian date, raw",222,256,2.8,,57.4,5.1,0.6,0.0,0.1,3.00,18.00,0.00,0.00,,,0.43,0.15,2.24,1.94,0.07,0.14,,,,0.0,3.5,3.5,28,628,74,92,2.80,,1.00,38.8,0,0.208,0.160,0.052,0.000,0.000,0.052,0.0,,,138.9,13.9,,,,,17.9,,,,,
"Pastry, croissant",223,420,7.7,6.7,41.8,2.3,24.1,0.0,1.3,258.00,18.00,1.50,1.50,1.10,,0.14,0.11,1.24,0.55,0.06,,,57.8,,0.0,0.0,0.0,506,120,39,16,0.91,0.10,0.58,6.2,35.5166666666667,7.996,10.221,4.115,0.000,0.822,3.293,,365.4,595.5,216.5,135.3,132.6,392.5,175.9,243.6,74.4,406.0,392.5,175.9,324.8,690.2
"Eggs, chicken, egg white, dried",225,357,82.3,73.0,6.8,0.0,0.0,0.0,4.0,0.00,0.00,,,0.10,,0.02,2.53,21.96,0.89,0.02,0.67,94.3,18.0,,0.1,0.0,0.0,1585,604,37,41,0.15,0.13,0.07,5.4,0,0.000,0.000,0.000,,0.000,0.000,10.7,5004.6,7111.8,5136.3,3160.8,2107.2,5136.3,3292.5,3687.6,1264.3,6189.9,4741.2,1843.8,3029.1,3029.1
Vinegar,226,20,0.4,,0.4,0.0,0.0,0.2,0.1,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,20,89,12,22,0.50,0.01,0.01,0.6,0,0.000,0.000,0.000,0.000,,,0.0,,,,,,,,,,,,,,
Madeira,228,166,0.0,,10.0,0.0,0.0,18.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,4,100,8,10,0.83,0.13,0.14,10.0,0,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
Campari,229,180,0.0,,10.0,0.0,0.0,20.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0,,,,,0.08,0.07,20.0,0,0.000,0.000,0.000,0.000,,,0.0,,,,,,,,,,,,,,
Pastry with poppy seeds,230,434,7.6,6.6,41.3,3.0,25.9,0.0,1.0,258.00,18.00,1.50,1.50,1.10,,0.12,0.10,1.22,0.55,0.05,,,60.6,,0.0,0.0,0.0,415,130,82,34,1.98,0.15,0.71,12.0,29.2833333333333,8.323,9.984,5.709,0.000,0.892,4.818,,360.3,587.1,213.5,133.4,130.8,386.9,173.5,240.2,73.4,400.3,386.9,173.5,320.2,680.5
"Cheese, Blue and white mould, 70 % fidm.",231,449,12.6,11.3,0.0,0.0,44.1,0.0,1.5,372.33,194.00,0.41,0.41,0.69,0.00,0.04,0.50,3.94,1.00,0.23,1.73,1.5,36.0,2.0,1.2,0.0,0.0,620,82,581,17,0.07,0.05,1.79,0.1,0,28.232,9.793,1.068,1.892,0.178,0.757,145.0,700.7,1181.2,1021.0,360.4,46.0,660.7,700.7,440.4,176.2,860.9,400.4,360.4,260.3,1341.3
"Wine, white, sweet",232,96,0.2,,5.9,0.0,0.0,10.2,0.0,0.00,0.00,0.00,0.00,0.00,,0.00,0.01,0.08,0.08,0.01,0.03,,0.1,0.1,0.0,0.0,0.0,13,110,14,11,0.58,0.04,0.06,5.9,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0,,,,,,,,,,,,,,
